distance,filename,target_freq,detected_freq,frequency_error,rms,peak
10ft,test_10ft_1000hz.wav,1000,999.4000000000001,0.599999999999909,12862.442226611875,16490.0
10ft,test_10ft_2000hz.wav,2000,1998.8000000000002,1.199999999999818,12836.141904694634,14984.0
10ft,test_10ft_4000hz.wav,4000,3998.2000000000003,1.7999999999997272,12878.560805207144,18122.0
10ft,test_10ft_8000hz.wav,8000,7995.6,4.399999999999636,12824.504979065152,14480.0
1ft,test_1ft_1000hz.wav,1000,999.4000000000001,0.599999999999909,12840.911435991733,15286.0
1ft,test_1ft_2000hz.wav,2000,1999.0,1.0,13191.86527642276,18166.0
1ft,test_1ft_4000hz.wav,4000,3997.2000000000003,2.799999999999727,18755.235260776375,32597.0
1ft,test_1ft_8000hz.wav,8000,7996.400000000001,3.5999999999994543,18280.989774271224,32565.0
2ft,test_2ft_1000hz.wav,1000,999.6,0.39999999999997726,12838.526339682503,15710.0
2ft,test_2ft_2000hz.wav,2000,1999.0,1.0,12867.665770222282,15404.0
2ft,test_2ft_4000hz.wav,4000,3997.6000000000004,2.399999999999636,13187.291758209254,17908.0
2ft,test_2ft_8000hz.wav,8000,7996.200000000001,3.7999999999992724,12829.733548596098,14160.0
4ft,test_4ft_1000hz.wav,1000,999.8000000000001,0.1999999999999318,12844.781348690212,15040.0
4ft,test_4ft_2000hz.wav,2000,1999.0,1.0,12857.183409274932,15200.0
4ft,test_4ft_4000hz.wav,4000,3997.2000000000003,2.799999999999727,12967.241274915086,16836.0
4ft,test_4ft_8000hz.wav,8000,7997.0,3.0,12836.545705577728,15438.0
8ft,test_8ft_1000hz.wav,1000,999.4000000000001,0.599999999999909,12857.02389678541,14380.0
8ft,test_8ft_2000hz.wav,2000,1999.2,0.7999999999999545,12839.974936933166,14444.0
8ft,test_8ft_4000hz.wav,4000,3998.0,2.0,12836.52832234715,15218.0
8ft,test_8ft_8000hz.wav,8000,7997.0,3.0,12829.154126802408,15908.0
